,MAL_ID,Genres
0,1,Action
1,1,Adventure
2,1,Comedy
3,1,Drama
4,1,Sci-Fi
5,1,Space
6,5,Action
7,5,Drama
8,5,Mystery
9,5,Sci-Fi
10,5,Space
11,6,Action
12,6,Sci-Fi
13,6,Adventure
14,6,Comedy
15,6,Drama
16,6,Shounen
17,7,Action
18,7,Mystery
19,7,Police
20,7,Supernatural
21,7,Drama
22,7,Magic
23,8,Adventure
24,8,Fantasy
25,8,Shounen
26,8,Supernatural
27,15,Action
28,15,Sports
29,15,Comedy
30,15,Shounen
31,16,Comedy
32,16,Drama
33,16,Josei
34,16,Romance
35,16,Slice of Life
36,17,Slice of Life
37,17,Comedy
38,17,Sports
39,17,Shounen
40,18,Action
41,18,Cars
42,18,Sports
43,18,Drama
44,18,Seinen
45,19,Drama
46,19,Horror
47,19,Mystery
48,19,Police
49,19,Psychological
50,19,Seinen
51,19,Thriller
52,20,Action
53,20,Adventure
54,20,Comedy
55,20,Super Power
56,20,Martial Arts
57,20,Shounen
58,21,Action
59,21,Adventure
60,21,Comedy
61,21,Super Power
62,21,Drama
63,21,Fantasy
64,21,Shounen
65,22,Action
66,22,Comedy
67,22,Sports
68,22,School
69,22,Shounen
70,23,Action
71,23,Shounen
72,23,Sports
73,24,Comedy
74,24,Romance
75,24,School
76,24,Shounen
77,25,Action
78,25,Adventure
79,25,Comedy
80,25,Ecchi
81,25,Sci-Fi
82,25,Shounen
83,26,Action
84,26,Sci-Fi
85,26,Psychological
86,26,Drama
87,27,Action
88,27,Supernatural
89,27,Vampire
90,28,Comedy
91,28,Shounen
92,29,Action
93,29,Military
94,29,Sci-Fi
95,29,Historical
96,29,Drama
97,29,Seinen
98,30,Action
99,30,Sci-Fi
100,30,Dementia
101,30,Psychological
102,30,Drama
103,30,Mecha
104,31,Drama
105,31,Mecha
106,31,Psychological
107,31,Sci-Fi
108,32,Sci-Fi
109,32,Dementia
110,32,Psychological
111,32,Drama
112,32,Mecha
113,33,Action
114,33,Adventure
115,33,Demons
116,33,Drama
117,33,Fantasy
118,33,Horror
119,33,Military
120,33,Romance
121,33,Seinen
122,33,Supernatural
123,43,Action
124,43,Mecha
125,43,Police
126,43,Psychological
127,43,Sci-Fi
128,43,Seinen
129,44,Action
130,44,Historical
131,44,Drama
132,44,Romance
133,44,Martial Arts
134,44,Samurai
135,44,Shounen
136,45,Action
137,45,Adventure
138,45,Comedy
139,45,Historical
140,45,Romance
141,45,Samurai
142,45,Shounen
143,46,Samurai
144,46,Historical
145,46,Drama
146,46,Shounen
147,47,Action
148,47,Military
149,47,Sci-Fi
150,47,Adventure
151,47,Horror
152,47,Supernatural
153,47,Seinen
154,48,Game
155,48,Sci-Fi
156,48,Adventure
157,48,Mystery
158,48,Magic
159,48,Fantasy
160,49,Comedy
161,49,Magic
162,49,Romance
163,49,Seinen
164,49,Supernatural
165,50,Comedy
166,50,Supernatural
167,50,Magic
168,50,Romance
169,50,Seinen
170,51,Action
171,51,Drama
172,51,Romance
173,51,Shoujo
174,51,Supernatural
175,52,Sci-Fi
176,52,Comedy
177,52,Sports
178,52,Drama
179,52,Shounen
180,53,Harem
181,53,Slice of Life
182,53,Comedy
183,53,Drama
184,53,Romance
185,54,Action
186,54,Military
187,54,Sci-Fi
188,54,Police
189,54,Drama
190,54,Mecha
191,54,Shounen
192,55,Action
193,55,Adventure
194,55,Fantasy
195,55,Horror
196,55,Sci-Fi
197,56,Adventure
198,56,Fantasy
199,56,Sci-Fi
200,56,Shounen
201,57,Comedy
202,57,Drama
203,57,Music
204,57,Shounen
205,57,Slice of Life
206,58,Adventure
207,58,Romance
208,58,Mecha
209,58,Military
210,58,Sci-Fi
211,58,Horror
