MAL_ID,Licensors
1,Funimation
1,Bandai Entertainment
5,Sony Pictures Entertainment
6,Funimation
6,Geneon Entertainment USA
7,Funimation
7,Bandai Entertainment
8,Unknown
15,VIZ Media
15,Sentai Filmworks
16,VIZ Media
16,Discotek Media
17,Unknown
18,Funimation
19,VIZ Media
20,VIZ Media
21,Funimation
21,4Kids Entertainment
22,VIZ Media
23,Unknown
24,Funimation
25,Funimation
26,Funimation
26,Geneon Entertainment USA
27,Funimation
28,Nozomi Entertainment
29,Geneon Entertainment USA
30,ADV Films
30,Netflix
31,Manga Entertainment
32,Manga Entertainment
33,Media Blasters
33,NYAV Post
43,Manga Entertainment
44,ADV Films
44,Aniplex of America
45,Media Blasters
46,ADV Films
46,Aniplex of America
47,Funimation
47,Bandai Entertainment
47,Geneon Entertainment USA
48,Funimation
48,Bandai Entertainment
49,AnimEigo
50,Media Blasters
50,NYAV Post
51,Media Blasters
52,ADV Films
52,Sentai Filmworks
53,Funimation
53,Geneon Entertainment USA
54,Sentai Filmworks
54,Geneon Entertainment USA
55,ADV Films
56,Bandai Entertainment
57,Funimation
58,Funimation
59,Funimation
59,Geneon Entertainment USA
60,ADV Films
60,Funimation
61,ADV Films
61,Discotek Media
62,Unknown
63,Discotek Media
63,Geneon Entertainment USA
64,Sentai Filmworks
64,Geneon Entertainment USA
65,Sentai Filmworks
65,Geneon Entertainment USA
66,ADV Films
66,Sentai Filmworks
67,Funimation
68,Funimation
69,Sentai Filmworks
71,ADV Films
71,Funimation
72,ADV Films
72,Funimation
73,ADV Films
73,Funimation
73,Kadokawa Pictures USA
74,Nozomi Entertainment
75,Funimation
75,Geneon Entertainment USA
76,Geneon Entertainment USA
77,Geneon Entertainment USA
79,Funimation
80,Nozomi Entertainment
80,Bandai Entertainment
81,Bandai Entertainment
82,Nozomi Entertainment
82,Bandai Entertainment
83,Bandai Entertainment
84,Nozomi Entertainment
84,Bandai Entertainment
85,Nozomi Entertainment
85,Bandai Entertainment
86,Nozomi Entertainment
87,Bandai Entertainment
88,Nozomi Entertainment
88,Bandai Entertainment
89,Nozomi Entertainment
90,Bandai Entertainment
91,Bandai Entertainment
92,Nozomi Entertainment
93,Bandai Entertainment
93,NYAV Post
94,Bandai Entertainment
94,NYAV Post
95,Nozomi Entertainment
96,Bandai Entertainment
