,MAL_ID,Producers
0,1,Bandai Visual
1,5,Sunrise
2,5,Bandai Visual
3,6,Victor Entertainment
4,7,TV Tokyo
5,7,Bandai Visual
6,7,Dentsu
7,7,Victor Entertainment
8,8,TV Tokyo
9,8,Dentsu
10,15,TV Tokyo
11,15,Nihon Ad Systems
12,15,TV Tokyo Music
13,15,Shueisha
14,16,Genco
15,16,Fuji TV
16,16,Shueisha
17,17,Unknown
18,18,OB Planning
19,18,Studio Jack
20,19,VAP
21,19,Shogakukan-Shueisha Productions
22,19,Nippon Television Network
23,20,TV Tokyo
24,20,Aniplex
25,20,Shueisha
26,21,Fuji TV
27,21,TAP
28,21,Shueisha
29,22,Production I.G
30,22,Nihon Ad Systems
31,23,Unknown
32,24,TV Tokyo
33,24,Sotsu
34,24,Marvelous
35,24,Starchild Records
36,24,Media Factory
37,24,DAX Production
38,24,Studio Jack
39,25,GDH
40,25,Pony Canyon
41,25,CBC
42,26,Group TAC
43,26,Rondo Robe
44,26,Fuji TV
45,26,Pioneer LDC
46,27,Unknown
47,28,TV Tokyo
48,28,Aniplex
49,28,d-rights
50,28,Tohokushinsha Film Corporation
51,28,Atelier Musa
52,29,Marvelous
53,29,TBS
54,30,TV Tokyo
55,30,Kadokawa Shoten
56,30,Nihon Ad Systems
57,30,Audio Tanaka
58,31,Movic
59,31,Sega
60,31,TV Tokyo Music
61,31,Audio Tanaka
62,32,TV Tokyo
63,32,Toei Animation
64,32,Kadokawa Shoten
65,32,Movic
66,32,Sega
67,32,TV Tokyo Music
68,32,Audio Tanaka
69,33,VAP
70,33,Hakusensha
71,33,Nippon Television Network
72,43,Bandai Visual
73,43,Kodansha
74,44,Aniplex
75,45,Aniplex
76,45,SME Visual Works
77,45,Fuji TV
78,46,Fuji TV
79,46,Sony Music Entertainment
80,47,Mainichi Broadcasting System
81,47,Kodansha
82,47,Toho
83,48,Bandai Visual
84,48,Yomiko Advertising
85,48,Bandai
86,48,CyberConnect2
87,49,Bandai Visual
88,49,KSS
89,49,Pony Canyon
90,49,TBS
91,49,Kodansha
92,49,Half H.P Studio
93,49,Nichion
94,50,Bandai Visual
95,50,TBS
96,50,Imagine
97,51,Bandai Visual
98,51,AIC
99,51,Lantis
100,51,Audio Tanaka
101,52,TV Tokyo Music
102,53,Movic
103,53,Fuji TV
104,53,Pioneer LDC
105,53,Cosmic Ray
106,54,Mainichi Broadcasting System
107,54,Toho
108,54,TYO Animations
109,54,TYO
110,55,Sony Pictures Entertainment
111,55,Aniplex
112,56,Production I.G
113,57,Marvelous
114,57,Starchild Records
115,57,Asatsu DK
116,57,Kodansha
117,58,Youmex
118,58,Toshiba EMI
119,59,TBS
120,59,Pioneer LDC
121,60,Lantis
122,60,Kadokawa Shoten
123,60,Fuji TV
124,61,Kadokawa Shoten
125,62,Lantis
126,62,King Records
127,63,Bandai Visual
128,63,Hal Film Maker
129,63,Genco
130,63,Lantis
131,64,Mellow Head
132,64,Pony Canyon
133,64,TBS
134,64,Memory-Tech
135,64,Studio Jack
136,65,Mellow Head
137,65,TBS
138,66,Genco
139,66,Lantis
140,66,Imagica
141,66,TV Tokyo Music
142,66,Cosmic Ray
143,66,King Records
144,67,GDH
145,67,Kodansha
146,67,Sotsu Music Publishing
147,68,GDH
148,68,Dentsu
149,68,TBS
150,68,Sotsu Music Publishing
151,69,Bandai Visual
152,69,Imagine
153,71,Kadokawa Shoten
154,72,Tatsunoko Production
155,72,Kadokawa Shoten
156,72,Fuji TV
157,72,Imagica
158,72,Rakuonsha
159,72,Kadokawa Pictures Japan
160,72,KlockWorx
161,72,Happinet Pictures
162,72,Animation Do
163,73,Kadokawa Shoten
164,73,Happinet Pictures
165,74,Aniplex
166,74,Sogo Vision
167,75,TV Tokyo Music
168,75,King Records
169,76,Starchild Records
170,76,Omnibus Japan
171,77,Starchild Records
172,77,Omnibus Japan
173,79,Xebec
174,79,Lantis
175,79,Memory-Tech
176,80,Sotsu
177,80,Nagoya Broadcasting Network
178,81,Atelier Musa
179,82,Bandai Visual
180,83,Sotsu
181,83,Atelier Musa
182,84,Bandai Visual
183,85,Sotsu
