MAL_ID,Studios
1,Sunrise
5,Bones
6,Madhouse
7,Sunrise
8,Toei Animation
15,Gallop
16,J.C.Staff
17,Nippon Animation
18,A.C.G.T.
19,Madhouse
20,Studio Pierrot
21,Toei Animation
22,Trans Arts
23,Toei Animation
24,Studio Comet
25,Gonzo
26,Madhouse
27,Gonzo
28,Sunrise
29,Studio Deen
30,Gainax
30,Tatsunoko Production
31,Gainax
31,Production I.G
32,Gainax
32,Production I.G
33,OLM
43,Production I.G
44,Studio Deen
45,Gallop
45,Studio Deen
46,Gallop
47,Tokyo Movie Shinsha
48,Bee Train
49,AIC
50,AIC
51,Hal Film Maker
52,Bones
53,J.C.Staff
54,Digital Frontier
55,Bee Train
56,Bee Train
56,Xebec
57,Madhouse
58,AIC
59,Madhouse
60,Gonzo
61,Xebec
62,feel.
62,Zexcs
63,Daume
64,Nomad
65,Nomad
66,J.C.Staff
67,Gonzo
68,Gonzo
69,Sunrise
71,Gonzo
72,Kyoto Animation
73,Kyoto Animation
74,Group TAC
75,Xebec
76,Seven Arcs
77,Seven Arcs
79,Asread
80,Sunrise
81,Sunrise
82,Sunrise
83,Sunrise
84,Sunrise
85,Sunrise
86,Sunrise
87,Sunrise
87,Studio Hibari
88,Sunrise
89,Sunrise
89,Studio Deen
90,Sunrise
91,Sunrise
92,Sunrise
93,Sunrise
94,Sunrise
95,Sunrise
95,Nakamura Production
96,Sunrise
97,Gonzo
98,Sunrise
99,Sunrise
100,Hal Film Maker
101,Kyoto Animation
102,TMS Entertainment
103,Gallop
104,Studio Pierrot
105,Hal Film Maker
106,Toei Animation
107,Studio Deen
108,Studio Deen
109,Gonzo
110,Nippon Animation
111,Nippon Animation
112,Imagin
112,Studio Live
113,Xebec
114,Production I.G
115,AIC
116,AIC
117,AIC
118,AIC
119,Zexcs
120,Studio Deen
121,Bones
122,Studio Deen
123,Studio Pierrot
124,Studio Pierrot
125,Telecom Animation Film
126,ufotable
126,feel.
126,Studio Flag
127,Gonzo
128,Gonzo
129,Studio Pierrot
130,Studio Pierrot
131,Studio Pierrot
132,Studio Deen
133,Studio Matrix
134,Madhouse
135,Studio Pierrot
136,Nippon Animation
137,Nippon Animation
138,Nippon Animation
